ID,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
1,2021/1/7,ZA16DQLM,ST8000NM0055,8.00156E+12,1,0.518518519,0.5625,1,0.01746245,0.9,0.11627907,0.909090909,0,0.5,0,0.018518519
2,2021/1/16,ZA171TGD,ST8000NM0055,8.00156E+12,1,0.111111111,0.375,0.970588235,0.063988277,0.675,0.139534884,0.878787879,0,0.45,0,0
3,2021/1/24,ZA15BKQF,ST8000NM0055,8.00156E+12,1,0.685185185,0.375,1,0.001099035,0.65,0.139534884,0.939393939,0,0.275,0,0.037037037
4,2021/1/25,ZA1819FP,ST8000NM0055,8.00156E+12,1,0.296296296,0.375,0.676470588,0.708877763,0.65,0.209302326,0,0,0.6,0,0.055555556
5,2021/1/26,ZA180QPC,ST8000NM0055,8.00156E+12,1,0.666666667,0.375,1,0.00122115,0.9,0.209302326,0.96969697,0,0.45,0,0
6,2021/1/29,ZA171VKB,ST8000NM0055,8.00156E+12,1,0.648148148,0.375,0.970588235,0.089037123,0.7,0.139534884,0.98989899,0,0.325,0,0
7,2021/2/3,ZA1818JR,ST8000NM0055,8.00156E+12,1,0.62962963,0.375,1,0.003174991,0.9,0.209302326,0.96969697,0,0.675,0,0
8,2021/2/6,ZA180YY5,ST8000NM0055,8.00156E+12,1,0.240740741,0.375,0.852941176,0.314980462,0.875,0.209302326,0.727272727,0,0.6,0,0.12962963
9,2021/2/6,ZA1DFZFA,ST8000NM0055,8.00156E+12,1,0.462962963,0.9375,1,0.009524973,0.875,0.488372093,1,0,0.1,0,0
10,2021/2/7,ZA189JZC,ST8000NM0055,8.00156E+12,1,0.203703704,0.5625,0.735294118,0.571864697,0.9,0.209302326,0.777777778,0,0.5,0,0
11,2021/2/9,ZA1818KE,ST8000NM0055,8.00156E+12,1,0.185185185,0.375,0.5,0.063011357,0.875,0.186046512,0.626262626,0,0.7,0,0
12,2021/2/14,ZA180R9T,ST8000NM0055,8.00156E+12,1,0.444444444,0.375,0.823529412,0.403468067,0.9,0.186046512,0.515151515,0,0.45,0,0
13,2021/2/15,ZA1818HB,ST8000NM0055,8.00156E+12,1,0.259259259,0.375,0.735294118,0.572963732,0.9,0.186046512,0.797979798,0,0.375,0,0
14,2021/2/17,ZA153THY,ST8000NM0055,8.00156E+12,1,0.425925926,0.0625,0.911764706,0.237880083,0.9,0.162790698,0.04040404,0,0.125,0,0.055555556
15,2021/2/20,ZA1805WS,ST8000NM0055,8.00156E+12,1,0.296296296,0.375,0.764705882,0.488582244,0.65,0.209302326,0.616161616,0,0.4,0,0
16,2021/2/23,ZA171SR9,ST8000NM0055,8.00156E+12,1,0.685185185,0.375,1,0.000122115,0.725,0.11627907,1,0,0.35,0,0
17,2021/2/24,ZA16DQRY,ST8000NM0055,8.00156E+12,1,0.62962963,0.5625,0.911764706,0.234949322,0.9,0.093023256,0.131313131,0,0.5,0,0.240740741
18,2021/2/26,ZA17WV9J,ST8000NM0055,8.00156E+12,1,0.425925926,0.375,1,0,0.675,0.209302326,1,0,0.3,0,0
19,2021/3/5,ZA171TPA,ST8000NM0055,8.00156E+12,1,0.685185185,0.5,1,0.015997069,0.725,0.11627907,0.96969697,0,0.525,0,0.018518519
20,2021/3/10,ZA17Y1Y4,ST8000NM0055,8.00156E+12,1,0.462962963,0.375,1,0,0.9,0.186046512,1,0,0.225,0,0
21,2021/3/11,ZA180ZHZ,ST8000NM0055,8.00156E+12,1,0.092592593,0.375,0.058823529,0.931371352,0.875,0.186046512,0,0,0.65,0,0
22,2021/3/12,ZA180ZEB,ST8000NM0055,8.00156E+12,1,0.074074074,0.5,0.147058824,0.754793015,0.875,0.186046512,0,0,0.35,0,0.037037037
23,2021/3/12,ZA180YVS,ST8000NM0055,8.00156E+12,1,0.648148148,0.375,1,0,0.9,0.186046512,1,0,0.5,0,0
24,2021/3/12,ZA15707D,ST8000NM0055,8.00156E+12,1,0.666666667,0.0625,1,0.00073269,0.875,0.139534884,1,0,0.2,0,0
25,2021/4/3,ZA180YTV,ST8000NM0055,8.00156E+12,1,0.125,0.4375,0.944444444,0.272827688,0.875,0.177777778,0.767676768,0,0.313432836,0,0.037037037
26,2021/4/4,ZA14XXZY,ST8000NM0055,8.00156E+12,1,0.714285714,0.0625,1,0.000490918,0.875,0.155555556,1,0,0.179104478,0,0
27,2021/4/5,ZA12ASN7,ST8000NM0055,8.00156E+12,1,0.696428571,0.1875,1,0.000613648,0.6,0.155555556,0.96969697,0,0.268656716,0,0.018518519
28,2021/4/6,ZA1815BM,ST8000NM0055,8.00156E+12,1,0.178571429,0.375,0.972222222,0.15844379,0.7,0.2,0.96969697,0,0.23880597,0,0
29,2021/4/10,ZA174QRH,ST8000NM0055,8.00156E+12,1,0.660714286,0.6875,1,0,0.675,0.177777778,1,0,0.23880597,0,0
30,2021/4/10,ZA17T8H3,ST8000NM0055,8.00156E+12,1,0.267857143,0.375,0.611111111,0.718335788,0.425,0.2,0,0,0.298507463,0,0.055555556
31,2021/4/17,ZA1818H6,ST8000NM0055,8.00156E+12,1,0.607142857,0.375,1,0,0.775,0.2,1,0,0.343283582,0,0
